x,y,z,tonnage,grade,economic_value,reserve
1,3,7,1000,0.4813,4063.01,-1
1,3,8,1000,0.3542,-2288.69,-1
1,3,9,1000,0.263,-6851.95,-1
1,4,0,1000,0.2337,-8315.4,-1
1,4,1,1000,0.3284,-3579.04,-1
1,4,2,1000,0.4072,359.73,-1
1,4,3,1000,0.4905,4526.62,-1
1,4,4,1000,0.6047,10237.01,-1
1,4,5,1000,0.7237,16186.07,-1
1,4,6,1000,0.7003,15015.08,-1
1,4,7,1000,0.5767,8834.71,-1
1,4,8,1000,0.4299,1494.52,-1
1,4,9,1000,0.3191,-4042.95,-1
1,5,0,1000,0.2497,-7515.94,-1
1,5,1,1000,0.3582,-2088.33,-1
1,5,2,1000,0.4658,3287.72,-1
1,5,3,1000,0.5425,7124.73,-1
1,5,4,1000,0.6245,11223.59,-1
1,5,5,1000,0.7244,16218.85,-1
1,5,6,1000,0.693,14648.32,-1
1,5,7,1000,0.5625,8126.5,-1
1,5,8,1000,0.4453,2267.32,-1
1,5,9,1000,0.3387,-3065.5,-1
1,6,0,1000,0.2635,-6822.91,-1
1,6,1,1000,0.3753,-1237.48,-1
1,6,2,1000,0.4843,4214.13,-1
1,6,3,1000,0.5454,7272.27,-1
1,6,4,1000,0.597,9850.75,-1
1,6,5,1000,0.6594,12968.3,-1
1,6,6,1000,0.6178,10891.9,-1
1,6,7,1000,0.4997,4984.44,-1
1,6,8,1000,0.4187,936.42,-1
1,6,9,1000,0.328,-3600.25,-1
1,7,0,1000,0.251,-7451.23,-1
1,7,1,1000,0.3475,-2625.62,-1
1,7,2,1000,0.4301,1505.2,-1
1,7,3,1000,0.4726,3629.11,-1
1,7,4,1000,0.5099,5496.01,-1
1,7,5,1000,0.5578,7888.36,-1
1,7,6,1000,0.5293,6462.9,-1
1,7,7,1000,0.4395,1973.26,-1
1,7,8,1000,0.3802,-991.58,-1
1,7,9,1000,0.3033,-4834.23,-1
1,8,0,1000,0.2249,-8753.18,-1
1,8,1,1000,0.2955,-5224.91,-1
1,8,2,1000,0.3492,-2541.35,-1
1,8,3,1000,0.3772,-1138.14,-1
1,8,4,1000,0.3898,-511.31,-1
1,8,5,1000,0.3932,-341.51,-1
1,8,6,1000,0.3886,-571.81,-1
1,8,7,1000,0.3553,-2235.51,-1
1,8,8,1000,0.3189,-4052.78,-1
1,8,9,1000,0.252,-7399.13,-1
1,9,0,1000,0.1756,-11221.89,-1
1,9,1,1000,0.2228,-8861.17,-1
1,9,2,1000,0.26,-7000.27,-1
1,9,3,1000,0.2793,-6032.82,-1
1,9,4,1000,0.2814,-5928.56,-1
1,9,5,1000,0.2812,-5938.66,-1
1,9,6,1000,0.2973,-5135.6,-1
1,9,7,1000,0.2918,-5411.77,-1
1,9,8,1000,0.2642,-6789.6,-1
1,9,9,1000,0.2059,-9705.57,-1
2,0,0,1000,0.1459,-12706.91,-1
2,0,1,1000,0.178,-11100.75,-1
2,0,2,1000,0.2432,-7841.7,-1
2,0,3,1000,0.295,-5250.07,-1
2,0,4,1000,0.3143,-4285.05,-1
2,0,5,1000,0.3329,-3354.56,-1
2,0,6,1000,0.3319,-3406.95,-1
2,0,7,1000,0.2931,-5346.3,-1
2,0,8,1000,0.2274,-8631.93,-1
2,0,9,1000,0.1801,-10995.26,-1
2,1,0,1000,0.1963,-10182.87,-1
2,1,1,1000,0.2484,-7579.94,-1
2,1,2,1000,0.3284,-3580.65,-1
2,1,3,1000,0.3957,-212.6,-1
2,1,4,1000,0.4295,1474.65,-1
2,1,5,1000,0.4513,2566.84,-1
2,1,6,1000,0.4406,2031.63,-1
2,1,7,1000,0.3818,-908.6,-1
2,1,8,1000,0.2905,-5474.67,-1
2,1,9,1000,0.2231,-8847.01,-1
2,2,0,1000,0.2457,-7717.05,-1
2,2,1,1000,0.3398,-3011.7,-1
2,2,2,1000,0.4397,1987.12,-1
2,2,3,1000,0.5244,6222.06,-1
2,2,4,1000,0.5937,9682.97,-1
2,2,5,1000,0.6329,11646.49,-1
2,2,6,1000,0.6014,10070.54,-1
2,2,7,1000,0.508,5401.14,-1
2,2,8,1000,0.384,-799.55,-1
2,2,9,1000,0.2821,-5896.32,-1
2,3,0,1000,0.2818,-5908.89,-1
2,3,1,1000,0.407,349.98,-1
2,3,2,1000,0.5182,5907.67,-1
2,3,3,1000,0.6163,10815.67,-1
2,3,4,1000,0.734,16701.34,-1
2,3,5,1000,0.8536,22679.6,-1
2,3,6,1000,0.8314,21569.82,-1
2,3,7,1000,0.6866,14328.58,-1
2,3,8,1000,0.5044,5219.01,-1
2,3,9,1000,0.3554,-2228.31,-1
2,4,0,1000,0.3106,-4470.56,-1
2,4,1,1000,0.4447,2233.58,-1
2,4,2,1000,0.5601,8007.1,-1
2,4,3,1000,0.6714,13568.51,-1
2,4,4,1000,0.8284,21422.37,-1
2,4,5,1000,1.0392,31959.58,-1
2,4,6,1000,1.0366,31830.28,-1
2,4,7,1000,0.8396,21979.26,-1
2,4,8,1000,0.6057,10285.68,-1
2,4,9,1000,0.4228,1138.93,-1
2,5,0,1000,0.33,-3498.93,-1
2,5,1,1000,0.4551,2757.22,-1
2,5,2,1000,0.61,10500.55,-1
2,5,3,1000,0.77,18499.84,-1
2,5,4,1000,0.9347,26734.81,-1
2,5,5,1000,1.1141,35704.68,-1
2,5,6,1000,1.0697,33487.14,-1
2,5,7,1000,0.8516,22581.03,-1
2,5,8,1000,0.6384,11920.6,-1
2,5,9,1000,0.4707,3535.7,-1
2,6,0,1000,0.3208,-3961.71,-1
2,6,1,1000,0.4326,1628.84,-1
2,6,2,1000,0.6075,10376.41,-1
2,6,3,1000,0.7862,19309.3,-1
2,6,4,1000,0.9255,26276.69,-1
2,6,5,1000,1.0226,31130.66,-1
2,6,6,1000,0.9417,27087.14,-1
2,6,7,1000,0.7473,17362.7,-1
2,6,8,1000,0.5759,8792.5,-1
2,6,9,1000,0.4407,2032.87,-1
2,7,0,1000,0.2889,-5553.05,-1
2,7,1,1000,0.3823,-886.92,-1
2,7,2,1000,0.5242,6211.53,-1
2,7,3,1000,0.6673,13365.07,-1
2,7,4,1000,0.7723,18614.3,-1
2,7,5,1000,0.8351,21757.22,-1
2,7,6,1000,0.7726,18632.09,-1
2,7,7,1000,0.6286,11430.59,-1
2,7,8,1000,0.4898,4491.85,-1
2,7,9,1000,0.3751,-1247.07,-1
2,8,0,1000,0.2548,-7261.25,-1
2,8,1,1000,0.3217,-3913.6,-1
2,8,2,1000,0.4063,314.01,-1
2,8,3,1000,0.509,5448.93,-1
2,8,4,1000,0.5851,9255.15,-1
2,8,5,1000,0.6008,10041.74,-1
2,8,6,1000,0.5663,8315.37,-1
2,8,7,1000,0.5034,5169.96,-1
2,8,8,1000,0.4214,1069.9,-1
2,8,9,1000,0.3191,-4044.74,-1
2,9,0,1000,0.2064,-9678.38,-1
2,9,1,1000,0.2483,-7586.8,-1
2,9,2,1000,0.2869,-5654.76,-1
2,9,3,1000,0.3512,-2438.92,-1
2,9,4,1000,0.404,199.73,-1
2,9,5,1000,0.4092,461.85,-1
2,9,6,1000,0.3986,-68.7,-1
2,9,7,1000,0.3812,-940.59,-1
2,9,8,1000,0.3413,-2936.08,-1
2,9,9,1000,0.2609,-6954.61,-1
3,0,0,1000,0.1707,-11464.73,-1
3,0,1,1000,0.2029,-9856.13,-1
3,0,2,1000,0.2666,-6670.62,-1
3,0,3,1000,0.3285,-3575.59,-1
3,0,4,1000,0.3614,-1927.93,-1
3,0,5,1000,0.3854,-729.21,-1
3,0,6,1000,0.3705,-1477.17,-1
3,0,7,1000,0.3156,-4219.96,-1
3,0,8,1000,0.2492,-7541.52,-1
3,0,9,1000,0.213,-9350.64,-1
3,1,0,1000,0.2376,-8119.01,-1
3,1,1,1000,0.2961,-5194.83,-1
3,1,2,1000,0.3768,-1158.51,-1
3,1,3,1000,0.4577,2887.45,-1
3,1,4,1000,0.5067,5333.05,-1
3,1,5,1000,0.5199,5994.76,-1
3,1,6,1000,0.4834,4168.8,-1
3,1,7,1000,0.0791,-16045.63,0
3,1,8,1000,0.3272,-3638.79,-1
3,1,9,1000,0.2745,-6276.07,-1
3,2,0,1000,0.2859,-5705.87,-1
3,2,1,1000,0.4054,270.21,-1
3,2,2,1000,0.5436,7179.97,-1
3,2,3,1000,0.6613,13066.22,-1
3,2,4,1000,0.7423,17112.88,-1
3,2,5,1000,0.7444,17219.33,-1
3,2,6,1000,0.6752,13760.63,-1
3,2,7,1000,0.1124,-14378.43,0
3,2,8,1000,0.4696,3477.71,-1
3,2,9,1000,0.3674,-1629.23,-1
3,3,0,1000,0.3263,-3685.68,-1
3,3,1,1000,0.4929,4643.63,-1
3,3,2,1000,0.6707,13534.64,-1
3,3,3,1000,0.8233,21167.16,-1
3,3,4,1000,0.969,28450.23,-1
3,3,5,1000,1.0599,32994.36,-1
3,3,6,1000,0.9926,29630.75,-1
3,3,7,1000,0.8111,20554.78,-1
3,3,8,1000,0.6392,11958.01,-1
3,3,9,1000,0.4648,3241.08,-1
3,4,0,1000,0.3729,-1352.86,-1
3,4,1,1000,0.5512,7559.98,-1
3,4,2,1000,0.7291,16456.76,-1
3,4,3,1000,0.9088,25438.37,-1
3,4,4,1000,1.1354,36771.93,-1
3,4,5,1000,1.3757,48782.55,-1
3,4,6,1000,1.3192,45960.96,-1
3,4,7,1000,1.0347,31733.39,-1
3,4,8,1000,0.7713,18565.89,-1
3,4,9,1000,0.5444,7221.68,-1
3,5,0,1000,0.3935,-327.02,-1
3,5,1,1000,0.5403,7012.56,-1
3,5,2,1000,0.744,17197.56,-1
3,5,3,1000,1.0045,30223.77,-1
3,5,4,1000,1.2946,44729.66,-1
3,5,5,1000,1.5637,58182.8,-1
3,5,6,1000,1.4509,52542.81,-1
3,5,7,1000,1.1005,35022.9,-1
3,5,8,1000,0.8097,20485.75,-1
3,5,9,1000,0.592,9599.25,-1
3,6,0,1000,0.3665,-1677.21,-1
3,6,1,1000,0.4821,4103.53,-1
3,6,2,1000,0.7033,15164.38,-1
3,6,3,1000,0.9924,29621.59,-1
3,6,4,1000,1.2494,42470.47,-1
3,6,5,1000,1.409,50450.95,-1
3,6,6,1000,1.2633,43162.84,-1
3,6,7,1000,0.9588,27940.46,-1
3,6,8,1000,0.7045,15223.76,-1
3,6,9,1000,0.5303,6512.81,-1
3,7,0,1000,0.3193,-4034.76,-1
3,7,1,1000,0.4132,657.7,-1
3,7,2,1000,0.5977,9885.62,-1
3,7,3,1000,0.8287,21435.51,-1
3,7,4,1000,1.0099,30493.85,-1
3,7,5,1000,1.0973,34864.49,-1
3,7,6,1000,0.9918,29588.23,-1
3,7,7,1000,0.7822,19108.12,-1
3,7,8,1000,0.5775,8874.96,-1
3,7,9,1000,0.4319,1596.39,-1
3,8,0,1000,0.2755,-6226.92,-1
3,8,1,1000,0.3469,-2657.48,-1
3,8,2,1000,0.4765,3826.58,-1
3,8,3,1000,0.6588,12937.93,-1
3,8,4,1000,0.7981,19902.83,-1
3,8,5,1000,0.8203,21016.14,-1
3,8,6,1000,0.7501,17506.09,-1
3,8,7,1000,0.6498,12489.43,-1
3,8,8,1000,0.5157,5784.5,-1
3,8,9,1000,0.3755,-1224.15,-1
3,9,0,1000,0.2247,-8765.98,-1
3,9,1,1000,0.2709,-6453.16,-1
3,9,2,1000,0.3412,-2941.55,-1
3,9,3,1000,0.4626,3132.12,-1
3,9,4,1000,0.5606,8028.05,-1
3,9,5,1000,0.5626,8130.76,-1
3,9,6,1000,0.5234,6169.34,-1
3,9,7,1000,0.4876,4379.72,-1
3,9,8,1000,0.4184,920.32,-1
3,9,9,1000,0.3084,-4580.73,-1
4,0,0,1000,0.1938,-10311.95,-1
4,0,1,1000,0.2293,-8534.56,-1
4,0,2,1000,0.2824,-5878.93,-1
4,0,3,1000,0.3445,-2772.87,-1
4,0,4,1000,0.3856,-720.16,-1
4,0,5,1000,0.407,349.77,-1
4,0,6,1000,0.3892,-542.12,-1
4,0,7,1000,0.0123,-19385.98,0
4,0,8,1000,0.2822,-5889.23,-1
4,0,9,1000,0.2455,-7723.57,-1
4,1,0,1000,0.2687,-6563.87,-1
4,1,1,1000,0.3363,-3185.82,-1
4,1,2,1000,0.4124,621.53,-1
4,1,3,1000,0.4998,4989.87,-1
4,1,4,1000,0.5598,7988.23,-1
4,1,5,1000,0.5591,7955.17,-1
4,1,6,1000,0.1458,-12709.65,0
4,1,7,1000,0.0206,-18969.88,0
4,1,8,1000,0.0438,-17807.51,0
4,1,9,1000,0.3148,-4258.87,-1
4,2,0,1000,0.3255,-3723.14,-1
4,2,1,1000,0.468,3402.28,-1
4,2,2,1000,0.6286,11428.99,-1
4,2,3,1000,0.7715,18575.65,-1
4,2,4,1000,0.8655,23272.68,-1
4,2,5,1000,0.8215,21073.72,-1
4,2,6,1000,0.7181,15904.92,-1
4,2,7,1000,0.0072,-19641.77,0
4,2,8,1000,0.1256,-13718.32,0
4,2,9,1000,0.4119,596.3,-1
4,3,0,1000,0.3739,-1305.03,-1
4,3,1,1000,0.5778,8889.06,-1
4,3,2,1000,0.8083,20413.29,-1
4,3,3,1000,1.0189,30944.25,-1
4,3,4,1000,1.2047,40232.98,-1
4,3,5,1000,1.2322,41611.35,-1
4,3,6,1000,1.0937,34687.05,-1
4,3,7,1000,0.0727,-16366.77,0
4,3,8,1000,0.7012,15061.42,-1
4,3,9,1000,0.5175,5873.69,-1
4,4,0,1000,0.4271,1354.87,-1
4,4,1,1000,0.6495,12473.13,-1
4,4,2,1000,0.8901,24503.7,-1
4,4,3,1000,1.1578,37891.04,-1
4,4,4,1000,1.4974,54871.19,-1
4,4,5,1000,1.7399,66996.21,-1
4,4,6,1000,1.5491,57455.29,-1
4,4,7,1000,1.1498,37488.83,-1
4,4,8,1000,0.8512,22560.18,-1
4,4,9,1000,0.6015,10075.23,-1
4,5,0,1000,0.454,2698.36,-1
4,5,1,1000,0.6368,11842.47,-1
4,5,2,1000,0.8689,23443.74,-1
4,5,3,1000,1.2082,40412.0,-1
4,5,4,1000,1.6834,64169.8,-1
4,5,5,1000,2.1214,86072.35,-1
4,5,6,1000,1.8193,70963.92,-1
4,5,7,1000,1.2696,43479.11,-1
4,5,8,1000,0.8993,24964.34,-1
4,5,9,1000,0.6417,12087.15,-1
4,6,0,1000,0.429,1450.76,-1
4,6,1,1000,0.5726,8629.38,-1
4,6,2,1000,0.7984,19920.7,-1
4,6,3,1000,1.1393,36964.29,-1
4,6,4,1000,1.5314,56567.76,-1
4,6,5,1000,1.8085,70424.94,-1
4,6,6,1000,1.5688,58440.49,-1
4,6,7,1000,1.1232,36161.81,-1
4,6,8,1000,0.7926,19631.49,-1
4,6,9,1000,0.577,8850.05,-1
4,7,0,1000,0.3733,-1335.24,-1
4,7,1,1000,0.491,4549.65,-1
4,7,2,1000,0.6836,14179.68,-1
4,7,3,1000,0.9471,27355.12,-1
4,7,4,1000,1.1907,39536.47,-1
4,7,5,1000,1.3174,45868.76,-1
4,7,6,1000,1.1804,39020.62,-1
4,7,7,1000,0.9068,25339.38,-1
4,7,8,1000,0.653,12649.28,-1
4,7,9,1000,0.4753,3766.16,-1
4,8,0,1000,0.3054,-4728.3,-1
4,8,1,1000,0.3988,-58.09,-1
4,8,2,1000,0.5631,8157.33,-1
4,8,3,1000,0.7817,19083.2,-1
4,8,4,1000,0.9495,27474.8,-1
4,8,5,1000,0.976,28801.74,-1
4,8,6,1000,0.8886,24428.5,-1
4,8,7,1000,0.7552,17762.17,-1
4,8,8,1000,0.5808,9039.98,-1
4,8,9,1000,0.4113,566.92,-1
4,9,0,1000,0.2358,-8208.05,-1
4,9,1,1000,0.2989,-5054.77,-1
4,9,2,1000,0.4065,322.81,-1
4,9,3,1000,0.5549,7745.91,-1
4,9,4,1000,0.6625,13126.6,-1
4,9,5,1000,0.6612,13061.94,-1
4,9,6,1000,0.6133,10662.83,-1
4,9,7,1000,0.5599,7994.61,-1
4,9,8,1000,0.4622,3109.16,-1
4,9,9,1000,0.331,-3450.74,-1
5,0,0,1000,0.1957,-10215.91,-1
5,0,1,1000,0.2336,-8320.73,-1
5,0,2,1000,0.2652,-6739.34,-1
5,0,3,1000,0.331,-3451.26,-1
5,0,4,1000,0.3975,-126.14,-1
5,0,5,1000,0.4263,1315.7,-1
5,0,6,1000,0.4188,939.95,-1
5,0,7,1000,0.3842,-791.66,-1
5,0,8,1000,0.3147,-4266.18,-1
5,0,9,1000,0.2521,-7393.98,-1
5,1,0,1000,0.2698,-6511.23,-1
5,1,1,1000,0.3434,-2830.65,-1
5,1,2,1000,0.4036,178.29,-1
5,1,3,1000,0.4975,4877.19,-1
5,1,4,1000,0.5848,9238.13,-1
5,1,5,1000,0.5902,9509.44,-1
5,1,6,1000,0.5574,7869.43,-1
5,1,7,1000,0.1412,-12939.03,0
5,1,8,1000,0.4024,121.84,-1
5,1,9,1000,0.3155,-4223.55,-1
5,2,0,1000,0.3501,-2494.76,-1
5,2,1,1000,0.5076,5378.62,-1
5,2,2,1000,0.654,12700.19,-1
5,2,3,1000,0.7774,18870.66,-1
5,2,4,1000,0.87,23501.56,-1
5,2,5,1000,0.857,22851.23,-1
5,2,6,1000,0.8025,20125.38,-1
5,2,7,1000,0.091,-15451.81,0
5,2,8,1000,0.5405,7022.66,-1
5,2,9,1000,0.4109,546.04,-1
5,3,0,1000,0.414,701.44,-1
5,3,1,1000,0.6457,12284.87,-1
5,3,2,1000,0.8843,24214.21,-1
5,3,3,1000,1.0758,33791.98,-1
5,3,4,1000,1.2402,42007.67,-1
5,3,5,1000,1.2799,43996.22,-1
5,3,6,1000,1.1921,39602.98,-1
5,3,7,1000,0.9532,27657.78,-1
5,3,8,1000,0.7035,15173.39,-1
5,3,9,1000,0.5076,5380.53,-1
5,4,0,1000,0.4586,2932.2,-1
5,4,1,1000,0.7176,15878.8,-1
5,4,2,1000,0.9969,29843.57,-1
5,4,3,1000,1.2835,44174.5,-1
5,4,4,1000,1.6418,62087.65,-1
5,4,5,1000,1.8739,73693.37,-1
5,4,6,1000,1.642,62100.99,-1
5,4,7,1000,1.1925,39624.12,-1
5,4,8,1000,0.8194,20967.59,-1
5,4,9,1000,0.5649,8244.01,-1
5,5,0,1000,0.4773,3865.53,-1
5,5,1,1000,0.6991,14952.92,-1
5,5,2,1000,0.95,27500.52,-1
5,5,3,1000,1.3071,45354.4,-1
5,5,4,1000,1.8934,74669.89,-1
5,5,5,1000,2.9017,125087.25,-1
5,5,6,1000,2.0137,80686.56,-1
5,5,7,1000,1.3477,47386.92,-1
5,5,8,1000,0.8969,24846.83,-1
5,5,9,1000,0.6079,10392.8,-1
5,6,0,1000,0.4667,3334.96,-1
5,6,1,1000,0.6546,12731.36,-1
5,6,2,1000,0.8893,24467.41,-1
5,6,3,1000,1.2434,42169.9,-1
5,6,4,1000,1.726,66298.18,-1
5,6,5,1000,2.1215,86073.98,-1
5,6,6,1000,1.8416,72082.27,-1
5,6,7,1000,1.3139,45694.45,-1
5,6,8,1000,0.89,24499.64,-1
5,6,9,1000,0.6071,10354.4,-1
5,7,0,1000,0.4195,973.31,-1
5,7,1,1000,0.5841,9206.62,-1
5,7,2,1000,0.8025,20125.61,-1
5,7,3,1000,1.0807,34037.05,-1
5,7,4,1000,1.3607,48034.44,-1
5,7,5,1000,1.5223,56114.38,-1
5,7,6,1000,1.4043,50215.61,-1
5,7,7,1000,1.0986,34927.81,-1
5,7,8,1000,0.7785,18925.25,-1
5,7,9,1000,0.5407,7035.84,-1
5,8,0,1000,0.3309,-3455.69,-1
5,8,1,1000,0.4652,3261.66,-1
5,8,2,1000,0.6633,13165.63,-1
5,8,3,1000,0.8671,23353.18,-1
5,8,4,1000,1.0115,30576.6,-1
5,8,5,1000,1.0496,32480.81,-1
5,8,6,1000,0.984,29199.19,-1
5,8,7,1000,0.8311,21553.61,-1
5,8,8,1000,0.6313,11562.93,-1
5,8,9,1000,0.4425,2124.36,-1
5,9,0,1000,0.235,-8251.18,-1
5,9,1,1000,0.3263,-3683.93,-1
5,9,2,1000,0.459,2951.84,-1
5,9,3,1000,0.5762,8810.51,-1
5,9,4,1000,0.6427,12135.71,-1
5,9,5,1000,0.6528,12640.59,-1
5,9,6,1000,0.6266,11332.38,-1
5,9,7,1000,0.5585,7924.19,-1
5,9,8,1000,0.4527,2635.09,-1
5,9,9,1000,0.3243,-3787.11,-1
6,0,0,1000,0.1861,-10696.46,-1
6,0,1,1000,0.228,-8598.38,-1
6,0,2,1000,0.2676,-6617.69,-1
6,0,3,1000,0.3476,-2621.92,-1
6,0,4,1000,0.4214,1070.5,-1
6,0,5,1000,0.4233,1166.38,-1
6,0,6,1000,0.4053,266.06,-1
6,0,7,1000,0.3838,-807.97,-1
6,0,8,1000,0.3121,-4393.55,-1
6,0,9,1000,0.2399,-8004.56,-1
6,1,0,1000,0.2502,-7487.86,-1
6,1,1,1000,0.327,-3651.73,-1
6,1,2,1000,0.4008,38.38,-1
6,1,3,1000,0.5117,5586.86,-1
6,1,4,1000,0.6054,10269.35,-1
6,1,5,1000,0.5847,9233.78,-1
6,1,6,1000,0.5466,7327.77,-1
6,1,7,1000,0.5042,5210.63,-1
6,1,8,1000,0.3978,-108.56,-1
6,1,9,1000,0.2988,-5060.21,-1
6,2,0,1000,0.3209,-3956.7,-1
6,2,1,1000,0.4733,3664.09,-1
6,2,2,1000,0.6207,11032.99,-1
6,2,3,1000,0.7338,16690.99,-1
6,2,4,1000,0.8165,20822.55,-1
6,2,5,1000,0.8393,21964.56,-1
