x,y,z,tonnage,grade,economic_value
0,2,21,1000,0.1898,-10507.85
0,2,22,1000,0.1793,-11035.33
0,2,23,1000,0.1641,-11793.33
0,2,24,1000,0.1435,-12827.27
0,3,0,1000,0.1327,-13364.11
0,3,1,1000,0.1513,-12434.69
0,3,2,1000,0.1572,-12141.98
0,3,3,1000,0.1726,-11370.75
0,3,4,1000,0.2002,-9988.67
0,3,5,1000,0.2168,-9158.95
0,3,6,1000,0.215,-9250.76
0,3,7,1000,0.2154,-9228.1
0,3,8,1000,0.2237,-8815.55
0,3,9,1000,0.2425,-7876.94
0,3,10,1000,0.2561,-7194.41
0,3,11,1000,0.2728,-6358.16
0,3,12,1000,0.2682,-6592.26
0,3,13,1000,0.2517,-7412.86
0,3,14,1000,0.2421,-7897.15
0,3,15,1000,0.2514,-7429.48
0,3,16,1000,0.253,-7349.33
0,3,17,1000,0.2531,-7347.27
0,3,18,1000,0.2368,-8158.92
0,3,19,1000,0.2126,-9367.78
0,3,20,1000,0.1958,-10208.52
0,3,21,1000,0.1884,-10582.45
0,3,22,1000,0.174,-11298.68
0,3,23,1000,0.1617,-11915.21
0,3,24,1000,0.1502,-12490.98
0,4,0,1000,0.1277,-13617.04
0,4,1,1000,0.1496,-12519.21
0,4,2,1000,0.1616,-11919.23
0,4,3,1000,0.1772,-11140.91
0,4,4,1000,0.2067,-9662.55
0,4,5,1000,0.2415,-7927.39
0,4,6,1000,0.2518,-7411.31
0,4,7,1000,0.2532,-7339.07
0,4,8,1000,0.2668,-6660.93
0,4,9,1000,0.2884,-5577.89
0,4,10,1000,0.2992,-5040.9
0,4,11,1000,0.311,-4449.75
0,4,12,1000,0.3088,-4559.72
0,4,13,1000,0.2952,-5238.5
0,4,14,1000,0.2662,-6691.52
0,4,15,1000,0.2523,-7387.38
0,4,16,1000,0.2532,-7338.12
0,4,17,1000,0.2606,-6968.51
0,4,18,1000,0.248,-7598.74
0,4,19,1000,0.2204,-8978.09
0,4,20,1000,0.2003,-9984.72
0,4,21,1000,0.19,-10501.86
0,4,22,1000,0.1726,-11371.76
0,4,23,1000,0.1593,-12033.04
0,4,24,1000,0.1533,-12334.78
0,5,0,1000,0.1349,-13252.66
0,5,1,1000,0.1665,-11676.01
0,5,2,1000,0.1907,-10464.65
0,5,3,1000,0.1974,-10130.48
0,5,4,1000,0.2133,-9335.39
0,5,5,1000,0.2516,-7418.69
0,5,6,1000,0.2678,-6610.05
0,5,7,1000,0.2653,-6734.95
0,5,8,1000,0.2862,-5688.58
0,5,9,1000,0.3035,-4827.42
0,5,10,1000,0.2934,-5329.37
0,5,11,1000,0.285,-5749.97
0,5,12,1000,0.3029,-4857.13
0,5,13,1000,0.3142,-4288.69
0,5,14,1000,0.2896,-5517.5
0,5,15,1000,0.264,-6800.64
0,5,16,1000,0.2701,-6493.18
0,5,17,1000,0.2883,-5586.28
0,5,18,1000,0.2697,-6517.05
0,5,19,1000,0.2295,-8524.47
0,5,20,1000,0.212,-9400.39
0,5,21,1000,0.2104,-9481.36
0,5,22,1000,0.1848,-10762.11
0,5,23,1000,0.1524,-12382.03
0,5,24,1000,0.1408,-12957.75
0,6,0,1000,0.1575,-12124.91
0,6,1,1000,0.195,-10251.77
0,6,2,1000,0.2205,-8973.93
0,6,3,1000,0.218,-9098.43
0,6,4,1000,0.2244,-8782.03
0,6,5,1000,0.2606,-6971.49
0,6,6,1000,0.2774,-6129.12
0,6,7,1000,0.2729,-6356.73
0,6,8,1000,0.3047,-4762.56
0,6,9,1000,0.3238,-3809.39
0,6,10,1000,0.3003,-4985.89
0,6,11,1000,0.2815,-5925.93
0,6,12,1000,0.3165,-4173.97
0,6,13,1000,0.3461,-2693.74
0,6,14,1000,0.3351,-3246.7
0,6,15,1000,0.3125,-4374.06
0,6,16,1000,0.3223,-3883.1
0,6,17,1000,0.3422,-2887.88
0,6,18,1000,0.3119,-4407.42
0,6,19,1000,0.2599,-7003.52
0,6,20,1000,0.2416,-7919.41
0,6,21,1000,0.2432,-7840.49
0,6,22,1000,0.21,-9502.04
0,6,23,1000,0.164,-11799.03
0,6,24,1000,0.1495,-12526.18
0,7,0,1000,0.177,-11151.21
0,7,1,1000,0.2142,-9287.97
0,7,2,1000,0.2343,-8284.37
0,7,3,1000,0.2285,-8575.33
0,7,4,1000,0.2339,-8305.43
0,7,5,1000,0.2706,-6470.12
0,7,6,1000,0.2921,-5397.4
0,7,7,1000,0.2935,-5326.0
0,7,8,1000,0.3363,-3187.2
0,7,9,1000,0.3616,-1918.07
0,7,10,1000,0.3397,-3013.22
0,7,11,1000,0.3244,-3778.94
0,7,12,1000,0.3617,-1915.09
0,7,13,1000,0.391,-448.13
0,7,14,1000,0.3865,-676.92
0,7,15,1000,0.37,-1500.42
0,7,16,1000,0.377,-1149.71
0,7,17,1000,0.3908,-457.79
0,7,18,1000,0.3557,-2212.95
0,7,19,1000,0.3014,-4928.55
0,7,20,1000,0.2783,-6085.51
0,7,21,1000,0.2713,-6432.51
0,7,22,1000,0.2327,-8365.18
0,7,23,1000,0.1847,-10766.83
0,7,24,1000,0.1716,-11421.77
0,8,0,1000,0.1949,-10255.27
0,8,1,1000,0.2275,-8623.54
0,8,2,1000,0.2486,-7569.11
0,8,3,1000,0.2456,-7721.23
0,8,4,1000,0.2402,-7989.53
0,8,5,1000,0.2506,-7469.71
0,8,6,1000,0.2807,-5966.67
0,8,7,1000,0.3074,-4627.98
0,8,8,1000,0.3494,-2527.71
0,8,9,1000,0.3622,-1888.01
0,8,10,1000,0.351,-2448.84
0,8,11,1000,0.3483,-2584.29
0,8,12,1000,0.3719,-1404.77
0,8,13,1000,0.3855,-724.84
0,8,14,1000,0.4099,494.2
0,8,15,1000,0.4261,1307.13
0,8,16,1000,0.4187,936.59
0,8,17,1000,0.4101,506.33
0,8,18,1000,0.3831,-844.0
0,8,19,1000,0.3455,-2724.57
0,8,20,1000,0.328,-3598.72
0,8,21,1000,0.3081,-4596.03
0,8,22,1000,0.2612,-6938.22
0,8,23,1000,0.2048,-9759.76
0,8,24,1000,0.179,-11051.79
0,9,0,1000,0.1884,-10580.67
0,9,1,1000,0.2188,-9060.94
0,9,2,1000,0.2505,-7474.93
0,9,3,1000,0.2545,-7273.29
0,9,4,1000,0.2442,-7787.53
0,9,5,1000,0.251,-7447.59
0,9,6,1000,0.3,-4999.47
0,9,7,1000,0.3473,-2634.68
0,9,8,1000,0.3795,-1024.11
0,9,9,1000,0.3749,-1257.16
0,9,10,1000,0.3724,-1380.94
0,9,11,1000,0.381,-949.81
0,9,12,1000,0.3947,-267.06
0,9,13,1000,0.3932,-339.91
0,9,14,1000,0.4073,366.91
0,9,15,1000,0.4141,704.04
0,9,16,1000,0.3929,-356.36
0,9,17,1000,0.3704,-1477.58
0,9,18,1000,0.3548,-2258.71
0,9,19,1000,0.334,-3300.03
0,9,20,1000,0.3272,-3638.99
0,9,21,1000,0.3048,-4761.62
0,9,22,1000,0.2552,-7240.01
0,9,23,1000,0.2001,-9997.13
0,9,24,1000,0.1771,-11146.25
0,10,0,1000,0.1772,-11138.16
0,10,1,1000,0.2084,-9581.46
0,10,2,1000,0.2471,-7644.91
0,10,3,1000,0.2546,-7267.91
0,10,4,1000,0.2494,-7529.29
0,10,5,1000,0.2809,-5953.74
0,10,6,1000,0.3481,-2596.45
0,10,7,1000,0.3981,-96.8
0,10,8,1000,0.4252,1260.1
0,10,9,1000,0.416,800.69
0,10,10,1000,0.4151,756.66
0,10,11,1000,0.4298,1491.74
0,10,12,1000,0.4474,2372.33
0,10,13,1000,0.4417,2087.41
0,10,14,1000,0.4174,868.01
0,10,15,1000,0.3839,-805.36
0,10,16,1000,0.3586,-2071.86
0,10,17,1000,0.3385,-3072.61
0,10,18,1000,0.3258,-3711.11
0,10,19,1000,0.3062,-4691.8
0,10,20,1000,0.3016,-4917.66
0,10,21,1000,0.2826,-5870.67
0,10,22,1000,0.235,-8247.61
0,10,23,1000,0.1897,-10514.77
0,10,24,1000,0.1843,-10785.13
0,11,0,1000,0.1806,-10972.3
0,11,1,1000,0.2088,-9559.11
0,11,2,1000,0.252,-7400.42
0,11,3,1000,0.2647,-6763.54
0,11,4,1000,0.2663,-6682.71
0,11,5,1000,0.3156,-4222.01
0,11,6,1000,0.3843,-786.76
0,11,7,1000,0.4227,1136.49
0,11,8,1000,0.4369,1847.24
0,11,9,1000,0.4237,1187.06
0,11,10,1000,0.4219,1095.55
0,11,11,1000,0.4474,2369.95
0,11,12,1000,0.4695,3476.88
0,11,13,1000,0.4546,2731.64
0,11,14,1000,0.4141,706.7
0,11,15,1000,0.375,-1248.1
0,11,16,1000,0.3531,-2343.11
0,11,17,1000,0.3455,-2726.32
0,11,18,1000,0.3346,-3269.28
0,11,19,1000,0.3043,-4783.72
0,11,20,1000,0.2906,-5471.54
0,11,21,1000,0.2766,-6168.13
0,11,22,1000,0.2364,-8179.67
0,11,23,1000,0.1961,-10194.8
0,11,24,1000,0.1904,-10478.68
0,12,0,1000,0.1926,-10370.66
0,12,1,1000,0.2168,-9161.47
0,12,2,1000,0.257,-7152.39
0,12,3,1000,0.2708,-6461.96
0,12,4,1000,0.272,-6398.05
0,12,5,1000,0.3085,-4573.11
0,12,6,1000,0.3577,-2115.49
0,12,7,1000,0.3852,-742.48
0,12,8,1000,0.4101,505.85
0,12,9,1000,0.4116,580.66
0,12,10,1000,0.408,400.42
0,12,11,1000,0.4338,1692.11
0,12,12,1000,0.4514,2572.0
0,12,13,1000,0.4304,1518.04
0,12,14,1000,0.414,701.69
0,12,15,1000,0.4116,579.82
0,12,16,1000,0.3961,-196.43
0,12,17,1000,0.3932,-342.27
0,12,18,1000,0.3759,-1206.61
0,12,19,1000,0.3326,-3368.99
0,12,20,1000,0.3073,-4632.94
0,12,21,1000,0.2948,-5258.97
0,12,22,1000,0.2592,-7040.71
0,12,23,1000,0.2152,-9238.34
0,12,24,1000,0.1949,-10254.08
0,13,0,1000,0.189,-10550.77
0,13,1,1000,0.2119,-9406.87
0,13,2,1000,0.2483,-7582.65
0,13,3,1000,0.2612,-6940.75
0,13,4,1000,0.2617,-6916.27
0,13,5,1000,0.289,-5550.3
0,13,6,1000,0.3292,-3537.75
0,13,7,1000,0.3576,-2122.22
0,13,8,1000,0.4044,220.78
0,13,9,1000,0.4235,1177.49
0,13,10,1000,0.4197,983.78
0,13,11,1000,0.4399,1996.51
0,13,12,1000,0.4521,2607.11
0,13,13,1000,0.4305,1523.43
0,13,14,1000,0.4228,1142.35
0,13,15,1000,0.4305,1525.35
0,13,16,1000,0.4152,760.02
0,13,17,1000,0.4046,228.32
0,13,18,1000,0.3782,-1088.82
0,13,19,1000,0.3338,-3310.98
0,13,20,1000,0.3073,-4636.3
0,13,21,1000,0.2933,-5333.43
0,13,22,1000,0.2584,-7080.1
0,13,23,1000,0.2167,-9163.17
0,13,24,1000,0.1986,-10069.59
0,14,0,1000,0.1803,-10987.29
0,14,1,1000,0.2037,-9813.85
0,14,2,1000,0.2269,-8653.85
0,14,3,1000,0.249,-7551.95
0,14,4,1000,0.2754,-6229.72
0,14,5,1000,0.3109,-4452.66
0,14,6,1000,0.3387,-3065.05
0,14,7,1000,0.3665,-1676.74
0,14,8,1000,0.4218,1088.01
0,14,9,1000,0.4421,2106.67
0,14,10,1000,0.4316,1581.3
0,14,11,1000,0.4569,2843.93
0,14,12,1000,0.477,3851.24
0,14,13,1000,0.4525,2624.48
0,14,14,1000,0.4472,2361.13
0,14,15,1000,0.458,2899.37
0,14,16,1000,0.4376,1878.94
0,14,17,1000,0.3972,-138.18
0,14,18,1000,0.3529,-2352.89
0,14,19,1000,0.3217,-3912.58
0,14,20,1000,0.2949,-5256.15
0,14,21,1000,0.2674,-6630.13
0,14,22,1000,0.2378,-8108.15
0,14,23,1000,0.2129,-9352.69
0,14,24,1000,0.2063,-9683.58
0,15,0,1000,0.1813,-10935.51
0,15,1,1000,0.2062,-9688.23
0,15,2,1000,0.2153,-9236.83
0,15,3,1000,0.2479,-7605.12
0,15,4,1000,0.3013,-4934.88
0,15,5,1000,0.3374,-3131.25
0,15,6,1000,0.3461,-2695.03
0,15,7,1000,0.3699,-1507.45
0,15,8,1000,0.4158,789.14
0,15,9,1000,0.4228,1141.95
0,15,10,1000,0.4034,168.46
0,15,11,1000,0.4323,1613.87
0,15,12,1000,0.4598,2989.3
0,15,13,1000,0.432,1602.44
0,15,14,1000,0.4248,1239.93
0,15,15,1000,0.4344,1719.46
0,15,16,1000,0.4109,543.32
0,15,17,1000,0.365,-1750.96
0,15,18,1000,0.334,-3300.21
0,15,19,1000,0.3219,-3902.78
0,15,20,1000,0.2988,-5059.0
0,15,21,1000,0.2634,-6828.09
0,15,22,1000,0.2395,-8025.7
0,15,23,1000,0.2212,-8942.07
0,15,24,1000,0.2068,-9658.47
0,16,0,1000,0.1849,-10755.3
0,16,1,1000,0.2092,-9538.4
0,16,2,1000,0.2142,-9291.8
0,16,3,1000,0.2461,-7695.78
0,16,4,1000,0.2974,-5130.98
0,16,5,1000,0.3155,-4222.53
0,16,6,1000,0.3101,-4493.47
0,16,7,1000,0.3312,-3440.71
0,16,8,1000,0.3763,-1183.16
0,16,9,1000,0.3829,-853.75
0,16,10,1000,0.3613,-1934.47
0,16,11,1000,0.3816,-922.41
0,16,12,1000,0.4026,130.89
0,16,13,1000,0.376,-1198.26
0,16,14,1000,0.3701,-1496.35
0,16,15,1000,0.38,-998.92
0,16,16,1000,0.3591,-2042.73
0,16,17,1000,0.3353,-3237.0
0,16,18,1000,0.3329,-3352.56
0,16,19,1000,0.3272,-3639.23
0,16,20,1000,0.3093,-4535.93
0,16,21,1000,0.2807,-5967.39
0,16,22,1000,0.2578,-7108.62
0,16,23,1000,0.2306,-8467.68
0,16,24,1000,0.1987,-10063.69
0,17,0,1000,0.1838,-10809.9
0,17,1,1000,0.2071,-9646.96
0,17,2,1000,0.2097,-9517.19
0,17,3,1000,0.239,-8050.54
0,17,4,1000,0.2852,-5741.06
0,17,5,1000,0.2932,-5340.48
0,17,6,1000,0.2858,-5708.64
0,17,7,1000,0.3072,-4638.31
0,17,8,1000,0.3383,-3086.92
0,17,9,1000,0.335,-3252.37
0,17,10,1000,0.313,-4350.44
0,17,11,1000,0.3148,-4259.83
0,17,12,1000,0.3394,-3027.93
0,17,13,1000,0.3392,-3039.83
0,17,14,1000,0.3439,-2803.62
0,17,15,1000,0.339,-3051.54
0,17,16,1000,0.3172,-4137.59
0,17,17,1000,0.3064,-4680.38
0,17,18,1000,0.3169,-4152.75
0,17,19,1000,0.3119,-4405.03
0,17,20,1000,0.2973,-5134.77
0,17,21,1000,0.2753,-6236.68
0,17,22,1000,0.2534,-7329.41
0,17,23,1000,0.2241,-8795.42
0,17,24,1000,0.1948,-10261.13
0,18,0,1000,0.1714,-11430.18
0,18,1,1000,0.1936,-10318.39
0,18,2,1000,0.1971,-10144.91
0,18,3,1000,0.225,-8749.05
0,18,4,1000,0.2689,-6556.08
0,18,5,1000,0.283,-5848.1
0,18,6,1000,0.2863,-5683.42
0,18,7,1000,0.3119,-4406.15
0,18,8,1000,0.3352,-3240.66
0,18,9,1000,0.3275,-3623.37
0,18,10,1000,0.3077,-4614.29
0,18,11,1000,0.2925,-5375.42
0,18,12,1000,0.3266,-3672.41
0,18,13,1000,0.3592,-2041.94
0,18,14,1000,0.3738,-1310.21
0,18,15,1000,0.346,-2701.86
0,18,16,1000,0.3198,-4008.49
0,18,17,1000,0.2998,-5007.69
0,18,18,1000,0.2949,-5252.66
0,18,19,1000,0.2857,-5714.63
0,18,20,1000,0.2697,-6515.15
0,18,21,1000,0.2472,-7641.69
0,18,22,1000,0.2261,-8697.44
0,18,23,1000,0.199,-10050.2
0,18,24,1000,0.1808,-10961.66
0,19,0,1000,0.1591,-12043.65
0,19,1,1000,0.1801,-10993.49
0,19,2,1000,0.1846,-10772.02
0,19,3,1000,0.2111,-9443.69
0,19,4,1000,0.2518,-7410.77
0,19,5,1000,0.2652,-6741.6
0,19,6,1000,0.2691,-6544.22
0,19,7,1000,0.2958,-5211.29
0,19,8,1000,0.3306,-3468.23
0,19,9,1000,0.3341,-3295.35
0,19,10,1000,0.3165,-4172.81
0,19,11,1000,0.2967,-5166.23
0,19,12,1000,0.3272,-3642.46
0,19,13,1000,0.3624,-1879.54
0,19,14,1000,0.3753,-1235.53
0,19,15,1000,0.343,-2848.04
0,19,16,1000,0.3173,-4136.83
0,19,17,1000,0.2951,-5244.47
0,19,18,1000,0.2854,-5727.61
0,19,19,1000,0.2753,-6235.94
0,19,20,1000,0.259,-7048.51
0,19,21,1000,0.2366,-8169.75
0,19,22,1000,0.2164,-9180.92
0,19,23,1000,0.1848,-10760.07
0,19,24,1000,0.1573,-12135.17
0,20,0,1000,0.1527,-12366.63
0,20,1,1000,0.1727,-11362.97
0,20,2,1000,0.1756,-11218.39
0,20,3,1000,0.1921,-10395.05
0,20,4,1000,0.2208,-8958.72
0,20,5,1000,0.2306,-8470.62
0,20,6,1000,0.2319,-8402.52
0,20,7,1000,0.2511,-7443.28
0,20,8,1000,0.2977,-5115.04
0,20,9,1000,0.3243,-3785.62
0,20,10,1000,0.32,-4001.41
0,20,11,1000,0.3159,-4204.29
0,20,12,1000,0.3336,-3318.35
0,20,13,1000,0.3466,-2669.74
0,20,14,1000,0.3328,-3360.96
0,20,15,1000,0.3012,-4939.5
0,20,16,1000,0.2877,-5617.16
0,20,17,1000,0.2768,-6159.69
0,20,18,1000,0.2616,-6919.81
0,20,19,1000,0.2428,-7860.06
0,20,20,1000,0.2221,-8896.91
0,20,21,1000,0.2088,-9561.23
0,20,22,1000,0.1988,-10059.21
0,20,23,1000,0.1728,-11357.96
0,20,24,1000,0.1426,-12868.68
0,21,0,1000,0.1451,-12745.16
0,21,1,1000,0.1663,-11686.06
0,21,2,1000,0.1734,-11328.59
0,21,3,1000,0.179,-11051.7
0,21,4,1000,0.1939,-10303.33
0,21,5,1000,0.2093,-9532.74
0,21,6,1000,0.2146,-9267.67
0,21,7,1000,0.2192,-9041.25
0,21,8,1000,0.2487,-7567.17
0,21,9,1000,0.2819,-5905.48
0,21,10,1000,0.295,-5250.78
0,21,11,1000,0.3149,-4256.99
0,21,12,1000,0.3153,-4232.63
0,21,13,1000,0.2975,-5127.34
0,21,14,1000,0.2638,-6810.12
0,21,15,1000,0.2539,-7305.99
0,21,16,1000,0.2602,-6990.69
0,21,17,1000,0.2666,-6667.7
0,21,18,1000,0.2439,-7807.07
0,21,19,1000,0.2109,-9454.1
0,21,20,1000,0.1796,-11019.05
0,21,21,1000,0.1754,-11232.34
0,21,22,1000,0.1793,-11032.69
0,21,23,1000,0.1676,-11618.05
0,21,24,1000,0.1454,-12728.06
0,22,0,1000,0.1303,-13486.88
0,22,1,1000,0.1522,-12388.32
0,22,2,1000,0.1674,-11628.66
0,22,3,1000,0.1744,-11282.25
0,22,4,1000,0.1874,-10630.38
0,22,5,1000,0.21,-9501.65
0,22,6,1000,0.2206,-8968.44
0,22,7,1000,0.2198,-9008.53
0,22,8,1000,0.2265,-8674.9
0,22,9,1000,0.2453,-7736.68
0,22,10,1000,0.2597,-7017.44
0,22,11,1000,0.2788,-6058.93
0,22,12,1000,0.2718,-6410.23
0,22,13,1000,0.2497,-7515.93
0,22,14,1000,0.2316,-8420.96
0,22,15,1000,0.2457,-7714.48
0,22,16,1000,0.2576,-7117.66
0,22,17,1000,0.2684,-6578.2
0,22,18,1000,0.247,-7648.53
0,22,19,1000,0.2126,-9369.8
0,22,20,1000,0.1777,-11114.3
0,22,21,1000,0.171,-11449.66
0,22,22,1000,0.1761,-11193.13
0,22,23,1000,0.1651,-11747.42
0,22,24,1000,0.1404,-12981.47
0,23,0,1000,0.1113,-14435.68
0,23,1,1000,0.1285,-13573.55
0,23,2,1000,0.1469,-12655.85
0,23,3,1000,0.1584,-12078.33
0,23,4,1000,0.1725,-11377.26
0,23,5,1000,0.2009,-9953.44
0,23,6,1000,0.2228,-8858.91
0,23,7,1000,0.2299,-8503.87
0,23,8,1000,0.2237,-8815.89
0,23,9,1000,0.2206,-8967.73
0,23,10,1000,0.2268,-8660.07
0,23,11,1000,0.2358,-8210.98
0,23,12,1000,0.236,-8200.76
0,23,13,1000,0.2287,-8566.04
0,23,14,1000,0.2309,-8457.22
0,23,15,1000,0.2495,-7526.97
0,23,16,1000,0.2563,-7182.94
0,23,17,1000,0.2521,-7397.27
0,23,18,1000,0.2266,-8668.07
0,23,19,1000,0.2033,-9834.59
0,23,20,1000,0.1778,-11110.19
0,23,21,1000,0.1645,-11774.06
0,23,22,1000,0.1618,-11908.32
0,23,23,1000,0.1508,-12457.76
0,23,24,1000,0.1328,-13358.43
0,24,0,1000,0.1016,-14920.59
0,24,1,1000,0.1087,-14563.01
0,24,2,1000,0.1215,-13922.69
0,24,3,1000,0.1361,-13195.31
0,24,4,1000,0.1474,-12628.79
0,24,5,1000,0.1648,-11758.97
0,24,6,1000,0.1927,-10362.87
0,24,7,1000,0.2183,-9085.86
0,24,8,1000,0.2214,-8929.96
0,24,9,1000,0.2046,-9768.98
0,24,10,1000,0.1983,-10083.9
0,24,11,1000,0.1933,-10333.53
0,24,12,1000,0.21,-9501.91
0,24,13,1000,0.2268,-8661.76
0,24,14,1000,0.2341,-8296.55
0,24,15,1000,0.228,-8598.67
0,24,16,1000,0.2237,-8815.0
0,24,17,1000,0.2002,-9991.03
0,24,18,1000,0.1761,-11193.52
0,24,19,1000,0.1742,-11291.86
0,24,20,1000,0.1697,-11516.77
0,24,21,1000,0.1515,-12423.14
0,24,22,1000,0.1364,-13179.12
0,24,23,1000,0.1267,-13666.55
0,24,24,1000,0.1232,-13841.85
1,0,0,1000,0.1118,-14409.22
1,0,1,1000,0.1227,-13864.06
1,0,2,1000,0.148,-12598.66
1,0,3,1000,0.1578,-12108.45
1,0,4,1000,0.1532,-12340.77
1,0,5,1000,0.159,-12048.69
1,0,6,1000,0.1843,-10785.99
1,0,7,1000,0.2057,-9712.81
1,0,8,1000,0.2138,-9309.97
1,0,9,1000,0.2034,-9829.86
1,0,10,1000,0.2018,-9910.77
1,0,11,1000,0.2237,-8817.35
1,0,12,1000,0.2329,-8354.56
1,0,13,1000,0.2139,-9306.85
1,0,14,1000,0.1935,-10325.62
1,0,15,1000,0.1973,-10132.89
1,0,16,1000,0.2016,-9919.18
1,0,17,1000,0.1914,-10431.55
1,0,18,1000,0.1702,-11492.15
1,0,19,1000,0.1594,-12031.18
1,0,20,1000,0.1524,-12377.85
1,0,21,1000,0.149,-12549.57
1,0,22,1000,0.1438,-12812.1
1,0,23,1000,0.1352,-13240.73
1,0,24,1000,0.119,-14048.24
1,1,0,1000,0.1196,-14018.57
1,1,1,1000,0.1335,-13324.13
1,1,2,1000,0.1599,-12002.75
1,1,3,1000,0.1726,-11371.68
1,1,4,1000,0.1738,-11311.05
1,1,5,1000,0.1855,-10725.37
1,1,6,1000,0.2109,-9452.71
1,1,7,1000,0.2289,-8555.44
1,1,8,1000,0.2238,-8810.98
1,1,9,1000,0.2061,-9693.04
1,1,10,1000,0.2067,-9666.66
1,1,11,1000,0.2372,-8139.24
1,1,12,1000,0.252,-7397.95
1,1,13,1000,0.2325,-8376.09
1,1,14,1000,0.2192,-9037.92
1,1,15,1000,0.2323,-8384.82
1,1,16,1000,0.237,-8149.3
1,1,17,1000,0.2289,-8555.33
1,1,18,1000,0.2091,-9544.61
1,1,19,1000,0.1953,-10234.28
1,1,20,1000,0.187,-10650.43
1,1,21,1000,0.1836,-10819.08
1,1,22,1000,0.1754,-11232.41
1,1,23,1000,0.1619,-11904.51
1,1,24,1000,0.1398,-13008.13
1,2,0,1000,0.1396,-13018.66
1,2,1,1000,0.1587,-12067.08
1,2,2,1000,0.1727,-11364.12
1,2,3,1000,0.1867,-10665.13
1,2,4,1000,0.205,-9750.81
1,2,5,1000,0.2217,-8913.07
1,2,6,1000,0.2321,-8392.5
1,2,7,1000,0.2367,-8164.72
1,2,8,1000,0.2203,-8983.13
1,2,9,1000,0.2089,-9556.0
1,2,10,1000,0.2167,-9166.8
1,2,11,1000,0.2508,-7461.26
1,2,12,1000,0.2636,-6821.81
1,2,13,1000,0.2453,-7736.63
1,2,14,1000,0.2483,-7587.29
1,2,15,1000,0.2767,-6162.93
1,2,16,1000,0.2807,-5963.61
1,2,17,1000,0.2766,-6169.79
1,2,18,1000,0.2595,-7025.05
1,2,19,1000,0.2392,-8039.71
1,2,20,1000,0.22,-9002.12
1,2,21,1000,0.2037,-9815.12
1,2,22,1000,0.1877,-10613.2
1,2,23,1000,0.1731,-11345.57
1,2,24,1000,0.155,-12252.35
1,3,0,1000,0.149,-12547.68
1,3,1,1000,0.1708,-11461.82
1,3,2,1000,0.1771,-11144.88
1,3,3,1000,0.1912,-10440.3
1,3,4,1000,0.2222,-8889.74
1,3,5,1000,0.2564,-7179.82
